การสอบโปสเตอร์ ณ วันที่ 21/05/2018
ลำดับ,รายชื่อโปรเจค,อาจารย์คนที่ 1,อาจารย์คนที่ 2,อาจารย์คนที่ 3
11,เกมส์โต้ตอบแบบปฏิสัมพันธ์บนกำแพงด้วยคิเนคต์,ผศ. ดร. กันต์พงษ์ วรรัตน์ปัญญา,ผศ. ดร. กิติ์สุชาต พสุภา,รศ. ดร. อาริต ธรรมโน
12,ระบบวิเคราะห์วงสวิงกอล์ฟ,ผศ. ดร. กนกวรรณ อัจฉริยะชาญวณิช,ดร. บัณฑิต ฐานะโสภณ,ผศ. ดร. โอฬาร วงศ์วิรัตน์
13,เว็ปแอพพลิเคชั่นสำหรับการค้นหาผู้ร่วมเล่นกอล์ฟ,ผศ. ดร. กันต์พงษ์ วรรัตน์ปัญญา,รศ. ดร. วรพจน์ กรีสุระเดช,รศ. ดร. อาริต ธรรมโน
14,เว็บแอพพลิเคชั่นสนับสนุนการปรับแต่งสีภาพ,ผศ. ดร. กิติ์สุชาต พสุภา,ผศ. ดร. ธนิศา นุ่มนนท์,อาจารย์วารุณี บัววิรัตน์
15,การทำนายการสำเร็จการศึกษาจากข้อมูลการลงทะเบียนนักศึกษา,ผศ. ดร. ธนิศา นุ่มนนท์,ผศ. ดร. บุญประเสริฐ สุรักษ์รัตนสกุล,ผศ. ดร. สุภกิจ นุตยะสกุล
16,การรู้จำป้ายจราจรเพื่อช่วยในการขับขี่,ผศ. ดร. กนกวรรณ อัจฉริยะชาญวณิช,ผศ. ดร. บุญประเสริฐ สุรักษ์รัตนสกุล,อาจารย์ศรีนวล นลินทิพยวงศ์
17,การวิเคราะห์ข้อมูลแบบเรียนรู้เพิ่มพูนสำหรับการจำแนกหมวดหมู่หนังสือ,ดร. ลภัส ประดิษฐ์ทัศนีย์,รศ. ดร. นพพร โชติกกำธร,อาจารย์วารุณี บัววิรัตน์
18,การตรวจจับและรู้จำข้อความ,รศ. ดร. พรฤดี เนติโสภากุล,อาจารย์อนันตพัฒน์ อนันตชัย,อาจารย์วารุณี บัววิรัตน์
19,ระบบสกัดข้อมูลจากเอกสารแบบอัตโนมัติ,รศ. ดร. นพพร โชติกกำธร,อาจารย์อนันตพัฒน์ อนันตชัย,อาจารย์วารุณี บัววิรัตน์
20,การวิเคราะห์พฤติกรรมการมองของมนุษย์บนเว็บเบราว์เซอร์ในสมาร์ตโฟน,ดร. ลภัส ประดิษฐ์ทัศนีย์,ดร. สามารถ หมุดและ,ผศ. ดร. โอฬาร วงศ์วิรัตน์
21,ระบบบันทึกการเข้าเรียนและการประเมินการสอน,ผศ. ดร. กนกวรรณ อัจฉริยะชาญวณิช,ผศ. ดร. โอฬาร วงศ์วิรัตน์,รศ. ดร. นพพร โชติกกำธร
22,ระบบสั่งอาหารแบบออนไลน์สำหรับร้านอาหาร,ผศ. ดร. กนกวรรณ อัจฉริยะชาญวณิช,ดร. ลภัส ประดิษฐ์ทัศนีย์,ผศ. ดร. กิติ์สุชาต พสุภา
23,ระบบจัดการค่ายและการจัดการงานต่างๆ,ผศ. ดร. กิติ์สุชาต พสุภา,ผศ. ดร. ธีรพงศ์ ลีลานุภาพ,อาจารย์ศรีนวล นลินทิพยวงศ์
24,ระบบการสร้างสรรค์เพลงร่วมกันสำหรับผู้เริ่มต้น,ดร. บัณฑิต ฐานะโสภณ,ผศ. ดร. กิติ์สุชาต พสุภา,ผศ. ดร. ภัทรชัย ลลิตโรจน์วงศ์
25,แอปพลิเคชันเว็บและมือถือสำหรับติดตามและแจ้งเตือนเด็กที่ถูกลืมในรถตู้โรงเรียนอนุบาลโดยใช้เซ็นเซอร์ไอโอที,ผศ. ดร. มานพ พันธ์โคกกรวด,ผศ. อัครินทร์ คุณกิตติ,อาจารย์สุพัณณดา โชติพันธ์
26,อุปกรณ์ไอโอทีสำหรับการติดตามและตรวจตราทางไกลเด็กที่ถูกลืมในรถตู้โรงเรียนอนุบาลโดยใช้คลาวด์เซอร์วิส,รศ. ดร. จันทร์บูรณ์ สถิตวิริยวงศ์,รศ. ดร. โชติพัชร์ ภรณวลัย,อาจารย์วารุณี บัววิรัตน์
27,โมบายแอปพลิเคชันพร้อมการเพิ่มคำนิยามจากบริบทสำหรับเขียนเล่าประสบการณ์การท่องเที่ยวแบบร่วมกัน,ดร. บัณฑิต ฐานะโสภณ,ผศ. ดร. กันต์พงษ์ วรรัตน์ปัญญา,ผศ. ดร. สุเมธ ประภาวัต
28,สิ่งแวดล้อมเพื่อการพัฒนาซอฟต์แวร์แบบทางไกลสำหรับการเขียนโปรแกรมแบบจับคู่ พร้อมด้วยการวิเคราะห์คุณภาพและการตรวจทานรหัสคำสั่ง,ผศ. ดร. บุญประเสริฐ สุรักษ์รัตนสกุล,ผศ. อัครินทร์ คุณกิตติ,อาจารย์สุพัณณดา โชติพันธ์
29,แอปพลิเคชันมือถือร่วมสร้างสรรค์ของกลุ่มคนสำหรับร้องขอความช่วยเหลือฉุกเฉิน,รศ. ดร. สุขสันต์ พาณิชพาพิบูล,รศ. ดร. อาริต ธรรมโน,อาจารย์ศรีนวล นลินทิพยวงศ์
30,ออกแบบและพัฒนาสถาปัตยกรรมแบบกระจายศูนย์เพื่อจัดการควบคุมการเข้าถึงข้อมูลสุขภาพสำหรับเครือโรงพยาบาลโดยใช้บล็อคเชนส่วนบุคคล,ดร. สามารถ หมุดและ,รศ. ดร. โชติพัชร์ ภรณวลัย,รศ. ดร. พรฤดี เนติโสภากุล
31,ระบบจำลองฟิสิกส์เพื่อการศึกษา,ดร. ลภัส ประดิษฐ์ทัศนีย์,รศ. ดร. จันทร์บูรณ์ สถิตวิริยวงศ์,รศ. ดร. อาริต ธรรมโน
32,ระบบซื้อขายลิขสิทธิ์ผลงานการออกแบบตัวละคร,ดร. พรสุรีย์ แจ่มศรี,ดร. สุภวรรณ ทัศนประเสริฐ,ผศ. ดร. ธีรพงศ์ ลีลานุภาพ
33,ระบบการลงคะแนนเสียงแบบอิเลคทรอนิกส์โดยใช้บล็อคเชนแบบส่วนตัว,ดร. บัณฑิต ฐานะโสภณ,ผศ. ดร. สมเกียรติ วังศิริพิทักษ์,รศ. ดร. นพพร โชติกกำธร
34,ออกแบบและพัฒนาระบบประกันการเดินทางโดยเครื่องบินโดยสาร ในรูปแบบของสัญญาอัจฉริยะ โดยใช้เทคโนโลยีบล๊อคเชนส่วนบุคคล,ผศ. ดร. มานพ พันธ์โคกกรวด,ผศ. ดร. สุเมธ ประภาวัต,รศ. ดร. นพพร โชติกกำธร
35,ระบบยืนยันความถูกต้องของใบแสดงผลการศึกษา,ดร. ลภัส ประดิษฐ์ทัศนีย์,ผศ. ดร. กันต์พงษ์ วรรัตน์ปัญญา,ผศ. ดร. สุภกิจ นุตยะสกุล
36,ระบบนำทางภายในอาคารด้วยความเป็นจริงเสริม,ดร. บัณฑิต ฐานะโสภณ,ดร. สามารถ หมุดและ,ดร. สุภวรรณ ทัศนประเสริฐ
37,แอปพลิเคชันเครือข่ายสังคมออนไลน์เพื่อการแบ่งปันข้อมูลการท่องเที่ยว,ผศ. ดร. กิติ์สุชาต พสุภา,รศ. ดร. โชติพัชร์ ภรณวลัย,อาจารย์ศรีนวล นลินทิพยวงศ์
38,ระบบตรวจสอบการทำงานเครื่องกรองน้ำ และส่งข้อมูลผ่านเครือข่ายโทรศัพท์มือถือ,ผศ. ดร. กิติ์สุชาต พสุภา,ผศ. ดร. สมเกียรติ วังศิริพิทักษ์,รศ. ดร. พรฤดี เนติโสภากุล
39,ระบบจัดการศูนย์ข้อมูลข่าวสารทางราชการตาม พรบ.ข้อมูลข่าวสาร พ.ศ.2540,ผศ. ดร. ธีรพงศ์ ลีลานุภาพ,รศ. ดร. วรพจน์ กรีสุระเดช,อาจารย์สุพัณณดา โชติพันธ์
40,ระบบจัดการเครือข่ายและควบคุมการจราจรบนเครือข่ายโดยใช้สถาปัตยกรรมแบบเอสดีเอ็น,ดร. บัณฑิต ฐานะโสภณ,อาจารย์ศรีนวล นลินทิพยวงศ์,อาจารย์วารุณี บัววิรัตน์
41,การศึกษาแนวทางการกระจายภาระงานสำหรับเกตเวย์ในเครือข่ายเฉพาะกิจเคลื่อนที่,ผศ. ดร. บุญประเสริฐ สุรักษ์รัตนสกุล,ผศ. ดร. มานพ พันธ์โคกกรวด,อาจารย์อนันตพัฒน์ อนันตชัย
42,การศึกษาแนวทางการพัฒนาระบบควบคุมขบวนโรบอทคาร์แบบทำงานอิสระ,ผศ. ดร. กิติ์สุชาต พสุภา,ผศ. ดร. สมเกียรติ วังศิริพิทักษ์,อาจารย์อนันตพัฒน์ อนันตชัย
43,การศึกษาแนวทางการควบคุมการกระจายการจราจรบนเครือข่ายด้วยเทคโนโลยี SDN,ดร. สุภวรรณ ทัศนประเสริฐ,ผศ. ดร. ธีรพงศ์ ลีลานุภาพ,อาจารย์สุพัณณดา โชติพันธ์
44,การศึกษาเปรียบเทียบเชิงประสิทธิภาพระหว่าง Bare-metal network และ Virtualization network,ดร. สิริอร วิทยากร,ผศ. ดร. สมเกียรติ วังศิริพิทักษ์,อาจารย์ศรีนวล นลินทิพยวงศ์
45,เว็บแอพพลิเคชั่นเพื่อสมาคมกีฬาหมากล้อมแห่งประเทศไทย,ดร. สิริอร วิทยากร,ผศ. ดร. สุภกิจ นุตยะสกุล,อาจารย์วารุณี บัววิรัตน์
46,การออกแบบและพัฒนาเกมสามมิติประเภทจำลองการสร้างเมืองในอวกาศ,ดร. บัณฑิต ฐานะโสภณ,ดร. สามารถ หมุดและ,ผศ. อัครินทร์ คุณกิตติ
47,ระบบปฏิสัมพันธ์กับหน้าจอขนาดใหญ่ในที่สาธารณะด้วยวิธีการจำแนกการมอง,ดร. พรสุรีย์ แจ่มศรี,ผศ. ดร. ธีรพงศ์ ลีลานุภาพ,รศ. ดร. จันทร์บูรณ์ สถิตวิริยวงศ์
48,การออกแบบและพัฒนาระบบจัดการรีสอร์ต,รศ. ดร. จันทร์บูรณ์ สถิตวิริยวงศ์,รศ. ดร. โชติพัชร์ ภรณวลัย,รศ. ดร. อาริต ธรรมโน
49,การวิเคราะห์เพลงเพื่อจัดหมวดหมู่ตามอารมณ์ของเพลง โดยใช้เทคนิคเหมืองข้อมูล,ดร. บัณฑิต ฐานะโสภณ,ผศ. ดร. บุญประเสริฐ สุรักษ์รัตนสกุล,รศ. ดร. จันทร์บูรณ์ สถิตวิริยวงศ์
50,การวิเคราะห์ปัจจัยของข่าวเศรษฐกิจที่มีผลต่อการขึ้นลงของราคาหุ้นในตลาด,ผศ. ดร. ธนิศา นุ่มนนท์,รศ. ดร. นพพร โชติกกำธร,อาจารย์ศรีนวล นลินทิพยวงศ์
51,การสร้างแบบจำลองสมการโครงสร้างเพื่อศึกษาปัจจัยที่ส่งผลต่อความสำเร็จของสตาร์ทอัพในประเทศไทย,รศ. ดร. พรฤดี เนติโสภากุล,รศ. ดร. สุขสันต์ พาณิชพาพิบูล,อาจารย์สุพัณณดา โชติพันธ์
52,บีโร่ : แอปพลิเคชันเพื่อการช่วยเหลือซึ่งกันและกันในสังคม,ผศ. ดร. กนกวรรณ อัจฉริยะชาญวณิช,ดร. ลภัส ประดิษฐ์ทัศนีย์,ผศ. ดร. ธนิศา นุ่มนนท์
53,เว๊ปไซค์ประมูลสินค้าออนไลน์ ภายใน สจล.,ดร. สามารถ หมุดและ,ดร. สุภวรรณ ทัศนประเสริฐ,รศ. ดร. นพพร โชติกกำธร
54,ระบบร้านค้าออนไลน์แบบไม่มีสต๊อก,ดร. สามารถ หมุดและ,ดร. สิริอร วิทยากร,ผศ. ดร. สมเกียรติ วังศิริพิทักษ์
55,การศึกษาพฤติกรรมการซื้อขายสินค้าบนโซเชียลเน็ตเวิร์คเพื่อสร้างระบบป้องกันการโกง,ดร. ลภัส ประดิษฐ์ทัศนีย์,รศ. ดร. โชติพัชร์ ภรณวลัย,รศ. ดร. อาริต ธรรมโน
56,แอปพลิเคชันบนมือถือเพื่อฟื้นฟูการเคลื่อนไหวของผุ้ป่วยโรคอัมพาต,ดร. ลภัส ประดิษฐ์ทัศนีย์,ดร. สิริอร วิทยากร,รศ. ดร. อาริต ธรรมโน
